txn_id,source,city,area,building,property_type,bedrooms,size_sqft,annual_rent,txn_date
rent_00000,dld,Dubai,Dubai Marina,Cayan Tower,apartment,0,438.8,45100.0,2026-05-08
rent_00001,dld,Dubai,Dubai Marina,Marina Gate,apartment,0,470.8,53200.0,2026-06-05
rent_00002,dld,Dubai,Dubai Marina,Cayan Tower,apartment,0,486.6,53300.0,2026-03-02
rent_00003,dld,Dubai,Dubai Marina,Marina Gate,apartment,0,468.4,50700.0,2025-07-09
rent_00004,dld,Dubai,Dubai Marina,Princess Tower,apartment,0,521.1,55000.0,2026-01-02
rent_00005,dld,Dubai,Dubai Marina,Cayan Tower,apartment,0,472.0,52300.0,2026-02-11
rent_00006,dld,Dubai,Dubai Marina,Marina Gate,apartment,0,491.0,53100.0,2025-12-30
rent_00007,dld,Dubai,Dubai Marina,Marina Gate,apartment,0,492.8,56000.0,2025-12-20
rent_00008,dld,Dubai,Dubai Marina,Marina Gate,apartment,0,509.1,58000.0,2026-04-27
rent_00009,dld,Dubai,Dubai Marina,Marina Gate,apartment,0,464.4,50500.0,2026-05-11
rent_00010,dld,Dubai,Dubai Marina,Cayan Tower,apartment,0,476.1,53600.0,2025-12-12
rent_00011,dld,Dubai,Dubai Marina,Cayan Tower,apartment,0,438.2,48200.0,2025-12-11
rent_00012,dld,Dubai,Dubai Marina,Marina Gate,apartment,1,717.6,70100.0,2026-03-03
rent_00013,dld,Dubai,Dubai Marina,Marina Gate,apartment,1,658.2,72700.0,2025-12-02
rent_00014,dld,Dubai,Dubai Marina,Cayan Tower,apartment,1,841.2,88400.0,2026-02-23
rent_00015,dld,Dubai,Dubai Marina,Princess Tower,apartment,1,761.4,83600.0,2026-04-01
rent_00016,dld,Dubai,Dubai Marina,Princess Tower,apartment,1,758.4,88400.0,2025-10-10
rent_00017,dld,Dubai,Dubai Marina,Princess Tower,apartment,1,793.8,92000.0,2026-02-06
rent_00018,dld,Dubai,Dubai Marina,Princess Tower,apartment,1,869.7,89600.0,2026-02-02
rent_00019,dld,Dubai,Dubai Marina,Marina Gate,apartment,1,733.5,83600.0,2026-03-27
rent_00020,dld,Dubai,Dubai Marina,Cayan Tower,apartment,1,784.8,78700.0,2026-05-30
rent_00021,dld,Dubai,Dubai Marina,Cayan Tower,apartment,1,722.7,85100.0,2026-03-18
rent_00022,dld,Dubai,Dubai Marina,Cayan Tower,apartment,1,797.1,90300.0,2025-07-07
rent_00023,dld,Dubai,Dubai Marina,Princess Tower,apartment,1,695.3,72500.0,2025-09-26
rent_00024,dld,Dubai,Dubai Marina,Princess Tower,apartment,2,1077.6,131500.0,2026-04-15
rent_00025,dld,Dubai,Dubai Marina,Cayan Tower,apartment,2,1206.9,128600.0,2026-04-10
rent_00026,dld,Dubai,Dubai Marina,Marina Gate,apartment,2,1248.3,135600.0,2025-07-10
rent_00027,dld,Dubai,Dubai Marina,Cayan Tower,apartment,2,1166.1,123900.0,2026-05-05
rent_00028,dld,Dubai,Dubai Marina,Cayan Tower,apartment,2,1040.0,111200.0,2026-06-02
rent_00029,dld,Dubai,Dubai Marina,Cayan Tower,apartment,2,1139.4,112900.0,2026-01-26
rent_00030,dld,Dubai,Dubai Marina,Princess Tower,apartment,2,1183.8,109500.0,2026-02-14
rent_00031,dld,Dubai,Dubai Marina,Marina Gate,apartment,2,1208.8,135200.0,2026-04-01
rent_00032,dld,Dubai,Dubai Marina,Princess Tower,apartment,2,1191.2,139000.0,2025-07-10
rent_00033,dld,Dubai,Dubai Marina,Cayan Tower,apartment,2,1173.3,123600.0,2026-02-19
rent_00034,dld,Dubai,Dubai Marina,Cayan Tower,apartment,2,1213.1,133900.0,2025-08-09
rent_00035,dld,Dubai,Dubai Marina,Marina Gate,apartment,2,1189.3,136900.0,2025-09-07
rent_00036,dld,Dubai,Dubai Marina,Marina Gate,apartment,3,1780.0,205700.0,2025-07-09
rent_00037,dld,Dubai,Dubai Marina,Princess Tower,apartment,3,1515.6,182900.0,2025-09-05
rent_00038,dld,Dubai,Dubai Marina,Marina Gate,apartment,3,1525.1,157800.0,2026-06-01
rent_00039,dld,Dubai,Dubai Marina,Cayan Tower,apartment,3,1671.5,175500.0,2025-11-06
rent_00040,dld,Dubai,Dubai Marina,Cayan Tower,apartment,3,1593.2,163800.0,2026-03-05
rent_00041,dld,Dubai,Dubai Marina,Princess Tower,apartment,3,1739.8,196000.0,2026-01-01
rent_00042,dld,Dubai,Dubai Marina,Cayan Tower,apartment,3,1720.3,193800.0,2026-01-09
rent_00043,dld,Dubai,Dubai Marina,Cayan Tower,apartment,3,1706.4,187200.0,2025-07-22
rent_00044,dld,Dubai,Dubai Marina,Cayan Tower,apartment,3,1778.8,201200.0,2025-12-12
rent_00045,dld,Dubai,Dubai Marina,Princess Tower,apartment,3,1617.5,177000.0,2025-12-12
rent_00046,dld,Dubai,Dubai Marina,Princess Tower,apartment,3,1719.7,216200.0,2025-11-19
rent_00047,dld,Dubai,Dubai Marina,Cayan Tower,apartment,3,1743.1,204000.0,2026-03-12
rent_00048,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,0,524.5,44000.0,2025-06-25
rent_00049,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,0,438.0,36800.0,2025-12-03
rent_00050,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,0,483.4,42600.0,2025-11-12
rent_00051,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,0,457.4,38500.0,2026-05-02
rent_00052,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,0,470.9,38500.0,2026-05-23
rent_00053,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,0,434.0,39800.0,2026-05-20
rent_00054,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,0,463.5,39700.0,2025-10-15
rent_00055,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,0,436.6,34800.0,2025-07-22
rent_00056,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,0,476.6,42000.0,2025-11-11
rent_00057,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,0,478.7,39100.0,2026-04-17
rent_00058,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,0,433.9,40800.0,2025-12-19
