txn_id,source,city,area,building,property_type,bedrooms,size_sqft,price,txn_date
sale_00000,adre,Dubai,Dubai Marina,Cayan Tower,apartment,0,468.4,717000.0,2026-05-13
sale_00001,dxbconnect,Dubai,Dubai Marina,Cayan Tower,apartment,0,406.2,609000.0,2025-09-09
sale_00002,dxbconnect,Dubai,Dubai Marina,Princess Tower,apartment,0,451.3,744000.0,2025-12-13
sale_00003,adre,Dubai,Dubai Marina,Princess Tower,apartment,0,481.5,798000.0,2025-08-17
sale_00004,dld,Dubai,Dubai Marina,Princess Tower,apartment,0,472.9,733000.0,2025-07-24
sale_00005,dld,Dubai,Dubai Marina,Marina Gate,apartment,0,484.2,796000.0,2025-09-10
sale_00006,adre,Dubai,Dubai Marina,Cayan Tower,apartment,0,441.2,790000.0,2025-10-09
sale_00007,dxbconnect,Dubai,Dubai Marina,Princess Tower,apartment,0,450.3,771000.0,2026-05-29
sale_00008,dxbconnect,Dubai,Dubai Marina,Cayan Tower,apartment,0,471.4,801000.0,2026-01-31
sale_00009,dxbconnect,Dubai,Dubai Marina,Marina Gate,apartment,0,445.9,694000.0,2025-12-24
sale_00010,dxbconnect,Dubai,Dubai Marina,Princess Tower,apartment,0,491.2,804000.0,2026-02-13
sale_00011,dld,Dubai,Dubai Marina,Marina Gate,apartment,0,478.0,830000.0,2025-08-14
sale_00012,dxbconnect,Dubai,Dubai Marina,Cayan Tower,apartment,0,427.7,733000.0,2026-01-06
sale_00013,dxbconnect,Dubai,Dubai Marina,Marina Gate,apartment,0,463.2,776000.0,2025-10-07
sale_00014,dxbconnect,Dubai,Dubai Marina,Marina Gate,apartment,1,790.5,1366000.0,2025-08-27
sale_00015,dxbconnect,Dubai,Dubai Marina,Marina Gate,apartment,1,809.5,1199000.0,2025-09-02
sale_00016,dld,Dubai,Dubai Marina,Marina Gate,apartment,1,758.0,1195000.0,2026-03-16
sale_00017,dld,Dubai,Dubai Marina,Cayan Tower,apartment,1,739.5,1303000.0,2025-11-19
sale_00018,adre,Dubai,Dubai Marina,Princess Tower,apartment,1,764.3,1275000.0,2026-05-11
sale_00019,adre,Dubai,Dubai Marina,Princess Tower,apartment,1,817.1,1315000.0,2026-01-05
sale_00020,dxbconnect,Dubai,Dubai Marina,Cayan Tower,apartment,1,820.2,1335000.0,2026-06-01
sale_00021,dld,Dubai,Dubai Marina,Cayan Tower,apartment,1,737.0,1258000.0,2026-02-26
sale_00022,adre,Dubai,Dubai Marina,Cayan Tower,apartment,1,812.3,1300000.0,2025-06-15
sale_00023,adre,Dubai,Dubai Marina,Marina Gate,apartment,1,765.5,1303000.0,2026-04-14
sale_00024,dxbconnect,Dubai,Dubai Marina,Cayan Tower,apartment,1,763.0,1225000.0,2025-10-02
sale_00025,adre,Dubai,Dubai Marina,Cayan Tower,apartment,1,758.0,1252000.0,2026-04-19
sale_00026,dld,Dubai,Dubai Marina,Princess Tower,apartment,1,800.9,1383000.0,2026-03-18
sale_00027,dld,Dubai,Dubai Marina,Cayan Tower,apartment,1,776.3,1130000.0,2026-05-13
sale_00028,adre,Dubai,Dubai Marina,Cayan Tower,apartment,2,1086.4,1667000.0,2025-12-15
sale_00029,dxbconnect,Dubai,Dubai Marina,Marina Gate,apartment,2,1153.2,2076000.0,2025-09-02
sale_00030,dxbconnect,Dubai,Dubai Marina,Marina Gate,apartment,2,1232.2,1900000.0,2026-05-16
sale_00031,dld,Dubai,Dubai Marina,Cayan Tower,apartment,2,1156.0,2020000.0,2026-04-01
sale_00032,adre,Dubai,Dubai Marina,Marina Gate,apartment,2,1210.8,2031000.0,2025-12-26
sale_00033,dxbconnect,Dubai,Dubai Marina,Princess Tower,apartment,2,1185.1,1883000.0,2026-01-07
sale_00034,dld,Dubai,Dubai Marina,Princess Tower,apartment,2,1181.5,2168000.0,2025-10-27
sale_00035,dld,Dubai,Dubai Marina,Marina Gate,apartment,2,1192.7,1998000.0,2025-12-15
sale_00036,dxbconnect,Dubai,Dubai Marina,Marina Gate,apartment,2,1239.1,2096000.0,2026-04-11
sale_00037,adre,Dubai,Dubai Marina,Cayan Tower,apartment,2,1134.7,1751000.0,2025-11-13
sale_00038,dld,Dubai,Dubai Marina,Marina Gate,apartment,2,1082.5,1866000.0,2026-04-19
sale_00039,dxbconnect,Dubai,Dubai Marina,Marina Gate,apartment,2,1108.1,1868000.0,2026-05-14
sale_00040,adre,Dubai,Dubai Marina,Cayan Tower,apartment,2,1321.4,2625000.0,2026-04-16
sale_00041,adre,Dubai,Dubai Marina,Cayan Tower,apartment,2,1029.1,1730000.0,2026-02-12
sale_00042,dld,Dubai,Dubai Marina,Marina Gate,apartment,3,1657.6,2618000.0,2026-02-01
sale_00043,dxbconnect,Dubai,Dubai Marina,Marina Gate,apartment,3,1716.0,2800000.0,2025-11-23
sale_00044,dld,Dubai,Dubai Marina,Marina Gate,apartment,3,1529.2,2437000.0,2026-03-16
sale_00045,adre,Dubai,Dubai Marina,Marina Gate,apartment,3,1880.3,3131000.0,2026-05-05
sale_00046,dld,Dubai,Dubai Marina,Marina Gate,apartment,3,1649.1,2495000.0,2026-04-23
sale_00047,adre,Dubai,Dubai Marina,Princess Tower,apartment,3,1917.1,2981000.0,2025-08-22
sale_00048,adre,Dubai,Dubai Marina,Marina Gate,apartment,3,1607.9,2826000.0,2025-10-30
sale_00049,adre,Dubai,Dubai Marina,Marina Gate,apartment,3,1695.8,2670000.0,2026-04-14
sale_00050,dxbconnect,Dubai,Dubai Marina,Cayan Tower,apartment,3,1653.6,2494000.0,2026-04-19
sale_00051,dxbconnect,Dubai,Dubai Marina,Marina Gate,apartment,3,1861.1,3105000.0,2025-07-22
sale_00052,dld,Dubai,Dubai Marina,Cayan Tower,apartment,3,1729.2,3114000.0,2026-02-11
sale_00053,adre,Dubai,Dubai Marina,Cayan Tower,apartment,3,1812.8,3081000.0,2025-09-14
sale_00054,dxbconnect,Dubai,Dubai Marina,Marina Gate,apartment,3,1718.7,2593000.0,2026-06-02
sale_00055,dld,Dubai,Dubai Marina,Cayan Tower,apartment,3,1875.8,3056000.0,2026-04-09
sale_00056,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,0,500.3,485000.0,2025-06-14
sale_00057,dxbconnect,Dubai,Jumeirah Village Circle,Belgravia,apartment,0,449.1,471000.0,2026-04-22
sale_00058,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,0,469.3,541000.0,2026-06-07
sale_00059,dxbconnect,Dubai,Jumeirah Village Circle,Pantheon,apartment,0,403.4,422000.0,2025-10-03
sale_00060,dxbconnect,Dubai,Jumeirah Village Circle,Pantheon,apartment,0,426.4,420000.0,2026-06-04
sale_00061,dxbconnect,Dubai,Jumeirah Village Circle,Belgravia,apartment,0,423.4,446000.0,2026-04-29
sale_00062,dxbconnect,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,0,473.5,480000.0,2026-04-26
sale_00063,adre,Dubai,Jumeirah Village Circle,Belgravia,apartment,0,474.9,545000.0,2026-03-01
sale_00064,adre,Dubai,Jumeirah Village Circle,Belgravia,apartment,0,440.8,456000.0,2026-04-20
sale_00065,adre,Dubai,Jumeirah Village Circle,Pantheon,apartment,0,430.1,454000.0,2026-01-12
sale_00066,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,0,529.5,629000.0,2025-09-17
sale_00067,dxbconnect,Dubai,Jumeirah Village Circle,Pantheon,apartment,0,419.6,422000.0,2026-06-07
sale_00068,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,0,493.3,492000.0,2025-12-27
sale_00069,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,0,455.5,443000.0,2025-08-01
sale_00070,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,1,883.5,893000.0,2025-07-10
sale_00071,adre,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,1,775.6,714000.0,2025-12-30
sale_00072,dxbconnect,Dubai,Jumeirah Village Circle,Pantheon,apartment,1,879.6,840000.0,2025-08-11
sale_00073,dxbconnect,Dubai,Jumeirah Village Circle,Belgravia,apartment,1,916.0,883000.0,2025-11-09
sale_00074,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,1,796.0,937000.0,2025-07-11
sale_00075,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,1,816.4,883000.0,2026-03-02
sale_00076,adre,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,1,773.7,734000.0,2025-09-28
sale_00077,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,1,790.9,798000.0,2025-11-10
sale_00078,dxbconnect,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,1,827.4,878000.0,2025-06-19
sale_00079,adre,Dubai,Jumeirah Village Circle,Belgravia,apartment,1,780.0,778000.0,2026-05-29
sale_00080,adre,Dubai,Jumeirah Village Circle,Belgravia,apartment,1,775.4,933000.0,2025-07-02
sale_00081,adre,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,1,744.3,721000.0,2025-08-13
sale_00082,dxbconnect,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,1,792.3,860000.0,2025-08-12
sale_00083,dxbconnect,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,1,801.3,776000.0,2025-08-25
sale_00084,adre,Dubai,Jumeirah Village Circle,Pantheon,apartment,2,1198.7,1263000.0,2025-09-17
sale_00085,dld,Dubai,Jumeirah Village Circle,Pantheon,apartment,2,1162.2,1233000.0,2025-08-04
sale_00086,dxbconnect,Dubai,Jumeirah Village Circle,Belgravia,apartment,2,998.3,1031000.0,2026-03-14
sale_00087,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,2,1153.7,1062000.0,2026-01-12
sale_00088,adre,Dubai,Jumeirah Village Circle,Belgravia,apartment,2,1302.3,1221000.0,2025-09-18
sale_00089,dld,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,2,1175.7,1143000.0,2026-02-25
sale_00090,dxbconnect,Dubai,Jumeirah Village Circle,Belgravia,apartment,2,1272.0,1390000.0,2025-09-05
sale_00091,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,2,1211.1,1427000.0,2025-10-18
sale_00092,dxbconnect,Dubai,Jumeirah Village Circle,Belgravia,apartment,2,1238.6,1274000.0,2026-05-18
sale_00093,dld,Dubai,Jumeirah Village Circle,Belgravia,apartment,2,1250.1,1204000.0,2025-10-03
sale_00094,adre,Dubai,Jumeirah Village Circle,Bloom Towers,apartment,2,1166.5,1325000.0,2025-10-30
